ARTICULO;SABCT;CANAL;ZONA_CONSOLIDADO;Ene-25;Feb-25;Mar-25;Abr-25;May-25;Jun-25;Jul-25;Ago-25;Set-25;Oct-25;Nov-25;Dic-25;Ene-26
100M-ADSS-24B1.3;A;INTEGRADOR;LIMA;0;0;0;0;0;0;0;0;9,904;0;0;0;0
100M-ADSS-24B1.3;A;MINORISTA;PROVINCIA SUR;0;0;0;1,330;0;0;0;0;0;0;0;0;0
100M-ADSS-24B1.3;A;OPERADORES;LIMA;7,442;6,074;17,106;11,264;17,820;1,242;2,460;1,271;0;2,532;0;0;0
100M-ADSS-24B1.3;A;OPERADORES;PROVINCIA NORTE;6,313;0;0;3,621;0;0;2,424;0;0;3,743;2,563;6,270;1,262
100M-ADSS-24B1.3;A;OPERADORES;PROVINCIA SUR;0;2,640;2,460;0;0;0;1,259;0;1,280;0;1,312;2,624;5,015
3050;A;INTEGRADOR;LIMA;1,293;695;496;1,077;110;568;1,163;0;1,884;587;91;1,513;0
3050;A;INTEGRADOR;PROVINCIA CENTRO;0;0;0;0;108;0;0;0;0;235;0;0;0
3050;A;INTEGRADOR;PROVINCIA NORTE;0;0;0;0;29;0;0;0;0;0;0;0;0
3050;A;INTEGRADOR;PROVINCIA ORIENTE;0;0;54;0;0;0;0;0;0;29;30;0;0
3050;A;INTEGRADOR;PROVINCIA SUR;0;0;110;0;110;0;0;63;60;0;0;0;101
3050;A;MINORISTA;AZANGARO;1,054;693;0;813;300;556;0;924;0;0;684;0;0
3050;A;MINORISTA;COMPUPALACE;2,309;1,155;1,732;2,540;1,155;6,689;0;0;240;2,965;1,439;3,049;505
3050;A;MINORISTA;LIMA;1,963;1,212;28;231;1,655;0;0;719;0;23;0;447;0
3050;A;MINORISTA;MALVINAS;1,401;3,272;2,771;346;1,062;3,516;571;1,624;2,223;1,597;72;757;89
3050;A;MINORISTA;MARSANO;462;808;462;346;808;1,732;0;369;577;342;0;905;0
3050;A;MINORISTA;PARURO;3,002;5,265;3,375;785;1,847;3,394;1,246;1,154;5,136;549;798;2,020;2,525
3050;A;MINORISTA;PROVINCIA CENTRO;3,768;1,279;1,071;2,458;1,209;2,190;1,419;2,704;352;2,676;343;1,031;1,283
3050;A;MINORISTA;PROVINCIA NORTE;1,914;4,967;5,531;2,369;3,073;3,856;1,930;5,631;3,567;3,891;1,373;1,759;1,962
3050;A;MINORISTA;PROVINCIA SUR;3,830;4,016;2,231;583;2,053;1,085;2,592;1,697;2,453;1,508;1,579;2,493;891
3050;A;MINORISTA;WILSON;3,085;2,381;6,812;6,007;4,995;2,539;5,390;620;4,467;1,141;2,202;0;1,672
3050;A;OPERADORES;LIMA;0;46;2,315;54;84;231;386;188;1,447;217;102;0;126
3050;A;OPERADORES;PROVINCIA CENTRO;54;0;0;54;260;0;0;0;0;235;94;0;0
3050;A;OPERADORES;PROVINCIA NORTE;92;0;224;0;85;0;94;0;0;0;33;125;157
3050;A;OPERADORES;PROVINCIA ORIENTE;0;0;0;0;0;0;0;0;0;0;164;0;0
3050;A;OPERADORES;PROVINCIA SUR;195;0;231;52;762;136;133;0;47;470;0;0;0
3060;A;INTEGRADOR;LIMA;0;82;82;82;201;0;0;131;251;196;91;94;397
3060;A;INTEGRADOR;PROVINCIA SUR;0;0;0;82;0;0;0;0;88;0;0;0;0
3060;A;MINORISTA;AZANGARO;388;1,940;970;272;2,289;1,591;0;213;196;1,275;2,284;0;215
3060;A;MINORISTA;COMPUPALACE;776;1,164;1,185;388;1,164;3,493;0;0;196;2,106;850;3,452;140
3060;A;MINORISTA;LIMA;789;602;927;0;2,271;1,086;0;1,940;830;39;0;1,748;442
3060;A;MINORISTA;MALVINAS;866;508;946;0;776;1,798;84;1,940;314;951;1,068;1,376;537
3060;A;MINORISTA;PARURO;327;1,050;194;1,108;1,041;828;841;2,716;761;1,332;761;1,586;0
3060;A;MINORISTA;PROVINCIA CENTRO;4,088;1,229;2,706;3,426;1,048;1,828;621;5,078;1,389;5,228;1,988;1,190;581
3060;A;MINORISTA;PROVINCIA NORTE;5,438;2,702;8,350;3,359;3,903;2,648;4,599;4,656;3,425;4,817;937;2,934;2,174
3060;A;MINORISTA;PROVINCIA SUR;3,230;2,138;1,505;1,164;1,422;1,867;613;588;1,670;1,272;1,874;2,237;146
